model,bin,date,% buy,% sell,% hold
hgbr,3,2003-04-28,0.4546365914786967,0.45513784461152884,0.09022556390977443
hgbr,3,2003-05-28,0.43557642149191445,0.43661971830985913,0.1278038601982264
hgbr,3,2003-06-28,0.4208826695371367,0.422497308934338,0.1566200215285253
hgbr,3,2003-07-28,0.43720190779014306,0.4356120826709062,0.1271860095389507
hgbr,3,2003-08-28,0.44637223974763407,0.443217665615142,0.11041009463722397
hgbr,3,2003-09-28,0.4281081081081081,0.4291891891891892,0.14270270270270272
hgbr,3,2003-10-28,0.44718864950078824,0.4466631634261692,0.10614818707304256
hgbr,3,2003-11-28,0.44971037388099,0.4476040021063718,0.10268562401263823
hgbr,3,2003-12-28,0.44332091538052154,0.44438531133581693,0.11229377328366152
hgbr,3,2004-01-28,0.4312431243124312,0.42629262926292627,0.14246424642464248
hgbr,3,2004-02-28,0.43161925601750545,0.4288840262582057,0.13949671772428884
hgbr,3,2004-03-28,0.44295661489019816,0.44081414033208355,0.11622924477771826
hgbr,3,2004-04-28,0.43029637760702527,0.4281009879253567,0.141602634467618
hgbr,3,2004-05-28,0.44360902255639095,0.44092373791621914,0.11546723952738991
hgbr,3,2004-06-28,0.4385201305767138,0.4352557127312296,0.12622415669205658
hgbr,3,2004-07-28,0.4428726877040261,0.4368879216539717,0.12023939064200218
hgbr,3,2004-08-28,0.4408893709327549,0.43817787418655096,0.12093275488069415
hgbr,3,2004-09-28,0.4355191256830601,0.43224043715846994,0.13224043715846995
hgbr,3,2004-10-28,0.4434876210979548,0.4418729817007535,0.11463939720129171
hgbr,3,2004-11-28,0.4326553051126993,0.43100604727872455,0.13633864760857614
hgbr,3,2004-12-28,0.436473165388828,0.43263964950711936,0.13088718510405256
hgbr,3,2005-01-28,0.43708971553610504,0.4338074398249453,0.12910284463894967
hgbr,3,2005-02-28,0.4405860010851872,0.43841562669560497,0.12099837221920781
hgbr,3,2005-03-28,0.429125138427464,0.4274640088593577,0.1434108527131783
hgbr,3,2005-04-28,0.4302390216787104,0.4252362423568649,0.14452473596442467
hgbr,3,2005-05-28,0.427536231884058,0.4253065774804905,0.14715719063545152
hgbr,3,2005-06-28,0.44844253490870034,0.4462943071965628,0.10526315789473684
hgbr,3,2005-07-28,0.4449244060475162,0.44438444924406045,0.11069114470842333
hgbr,3,2005-08-28,0.4338682899833979,0.4311012728278915,0.13503043718871058
hgbr,3,2005-09-28,0.4212309429700734,0.4184076792772445,0.1603613777526821
hgbr,3,2005-10-28,0.435599778883361,0.43228302929795465,0.13211719181868437
hgbr,3,2005-11-28,0.44672796106003243,0.4451054624121147,0.10816657652785289
hgbr,3,2005-12-28,0.43576965669988926,0.4335548172757475,0.13067552602436322
hgbr,3,2006-01-28,0.43656509695290857,0.4337950138504155,0.1296398891966759
hgbr,3,2006-02-28,0.442128359846407,0.43938562808557324,0.11848601206801974
hgbr,3,2006-03-28,0.44119271120927667,0.4367752622860298,0.12203202650469354
hgbr,3,2006-04-28,0.4357262103505843,0.432943795214246,0.13132999443516974
hgbr,3,2006-05-28,0.4292185730464326,0.42412231030577574,0.14665911664779163
hgbr,3,2006-06-28,0.43833333333333335,0.43444444444444447,0.1272222222222222
hgbr,3,2006-07-28,0.4252416145537237,0.4212620807276862,0.1534963047185901
hgbr,3,2006-08-28,0.4232081911262799,0.4197952218430034,0.15699658703071673
hgbr,3,2006-09-28,0.4469820554649266,0.44589450788471996,0.10712343665035345
hgbr,3,2006-10-28,0.4312184166198765,0.4300954519932622,0.1386861313868613
hgbr,3,2006-11-28,0.4482191780821918,0.4454794520547945,0.1063013698630137
hgbr,3,2006-12-28,0.44122562674094706,0.4373259052924791,0.12144846796657381
hgbr,3,2007-01-28,0.4339943342776204,0.4288951841359773,0.13711048158640227
hgbr,3,2007-02-28,0.44277777777777777,0.44055555555555553,0.11666666666666667
hgbr,3,2007-03-28,0.4383408071748879,0.4366591928251121,0.125
hgbr,3,2007-04-28,0.4380630630630631,0.43524774774774777,0.1266891891891892
hgbr,3,2007-05-28,0.4318181818181818,0.43068181818181817,0.1375
hgbr,3,2007-06-28,0.43929983060417843,0.43478260869565216,0.1259175607001694
hgbr,3,2007-07-28,0.4384180790960452,0.4327683615819209,0.1288135593220339
hgbr,3,2007-08-28,0.42209302325581394,0.4180232558139535,0.15988372093023256
hgbr,3,2007-09-28,0.453494771601541,0.4479911942762796,0.09851403412217942
